haul ,deployment_ID,frame_number,target_number,class,LX,LY,RX,RY,Length,Range,Error,LHX,LHY,LTX,LTY,RHX,RHY,RTX,RTY,hx,hy,hz,tx,ty,tz,target_link,dorsal_position,shape,shapegroup,useforlength,stereotarget,tilt,yaw
133,D20150729-T084243,9,1,Krill,1334.795402,466.6451289,1129.674292,483.4860759,,133.21,3.197298233,,,,,,,,,56.48019947,119.5278194,16.3330885,,,,,,,,,yes,,
133,D20150729-T084243,35,1,Krill,1062.905701,1123.098656,539.168739,1145.77459,0.78,52.77,11.34557688,1058.754462,1118.38134,1073.472489,1132.910674,535.5589665,1141.180335,545.567881,1153.650458,10.09109465,45.97116568,-21.16519381,10.61184202,45.51367275,-21.52564349,,Dorsal UP,Semi curve,Nearly straight,Dont Length,yes,13.53560269,132.1773118
133,D20150729-T084243,36,1,Krill,1376.707286,817.9772898,788.442788,844.5155378,0.9,51.44,7.265035169,1378.990146,814.8383572,1364.436913,832.5305226,793.8645806,839.807139,777.5992028,859.6394856,20.80329093,40.4266318,-7.372458118,20.21772055,40.34552232,-8.047805788,,Dorsal DOWN,Semi curve,Nearly straight,Dont Length,yes,40.09494309,27.39182745
133,D20150729-T084243,37,1,Krill,1598.342325,675.0220122,849.7639062,701.3683334,,38.33,5.549869571,,,,,,,,,22.38977467,31.0614743,-1.69227294,,,,,,,,,yes,,
133,D20150729-T084243,42,1,Krill,793.0935915,680.5366408,361.592198,695.3475364,1.06,56.24,13.52975147,791.1536843,676.2972883,805.5642383,693.8467749,359.4749371,690.899609,373.0685272,703.9537709,-1.460173897,56.13600514,-3.026119927,-0.730104258,56.07016996,-3.792691537,,Dorsal UP,Semi curve,Nearly straight,Dont Length,yes,42.87260916,154.0760513
133,D20150729-T084243,43,1,Krill,945.6709569,544.8783324,527.5443634,561.7019121,0.94,59.62,5.45308679,944.247986,542.0365819,954.9488925,557.5885659,530.1225672,563.7570321,539.8874118,576.5598285,6.579981236,58.69738559,3.781074143,7.134684752,58.60663763,3.028569631,,Dorsal UP,Semi curve,Nearly straight,Dont Length,yes,47.29991772,145.8486181
133,D20150729-T084243,44,1,Krill,1110.532864,609.2254581,734.3872972,627.3603112,,67.05,2.307911373,,,,,,,,,17.07938911,64.83481548,0.384459111,,,,,,,,,yes,,
133,D20150729-T084243,52,1,Krill,1065.539194,925.9066323,501.1676799,946.10495,,45.26,3.587601092,,,,,,,,,9.528524734,42.58553248,-11.99423498,,,,,,,,,yes,,
133,D20150729-T084243,66,1,Krill,753.6040572,843.4281508,260.7194539,856.0838777,,49.91,4.968312452,,,,,,,,,-2.92722496,48.81690051,-9.981132655,,,,,,,,,yes,,
133,D20150729-T084243,68,1,Krill,1199.921177,635.484031,782.5763513,655.0583298,,61.26,2.571891666,,,,,,,,,20.02460705,57.88486443,-1.037090388,,,,,,,,,yes,,
