FRAME_NUMBER,SPECIES_GROUP,LENGTH,RANGE,HX,HY,HZ
1126,Adult_pollock,,460.16,53.82409478,454.9091658,-43.66962647
1126,other_fish,,295.32,80.80195206,280.8496975,-42.49348208
1136,Adult_pollock,23.74,352.88,-60.61833825,343.1546288,61.17712616
1136,other_fish,,489.53,79.79901118,470.1051535,110.7832197
1177,Adult_pollock,,345.42,12.27233632,337.4454382,-72.7535432
1180,Adult_pollock,,390.91,88.02875207,380.4240515,-18.4234218
1182,other_fish,,447.37,154.5000534,414.5051926,-66.77801649
1186,Adult_pollock,,513.64,115.9956534,499.6678393,-26.50834945
1187,other_fish,,521.7,67.74098737,512.0619028,73.30578237
1197,other_fish,,567.72,168.0994925,542.2560931,-3.467897819
1210,other_fish,,529.1,187.8770191,494.511106,-10.47474479
1210,other_fish,,491.1,197.7237502,449.5105223,-5.420671952
1210,other_fish,,544.99,200.8657339,504.6015984,-45.19599763
1211,other_fish,,539.81,152.7342744,512.2604913,-75.22449911
1211,other_fish,,538.47,137.5420038,512.1670478,-93.38680392
1216,other_fish,,585.62,103.3448966,574.9421887,41.36129653
1217,other_fish,,504.85,-31.53107189,503.4859732,19.61947615
1217,other_fish,,597.7,35.44810579,594.0538551,55.56453149
1218,other_fish,,600.01,38.7987371,598.1949799,25.91771703
1219,Adult_pollock,,558.31,-66.39096128,554.0974773,-16.81247295
1220,Adult_pollock,,573.87,-76.79003798,568.2076807,23.89417795
1227,Adult_pollock,,243.83,47.43804448,225.6756999,-79.1899034
1228,other_fish,,505.32,212.7107253,458.3565182,3.769303352
1240,other_fish,,298.28,-26.64789493,283.0164737,-90.33139176
1241,other_fish,,329.01,-19.39703628,314.2261671,-95.56731079
1242,Adult_pollock,,353.61,-19.69164166,333.1737182,-116.8296718
1245,Adult_pollock,,268.67,91.87723321,248.2839024,45.80250357
1246,Adult_pollock,18.18,301.66,60.63225142,280.8247592,42.55641647
1247,Adult_pollock,,316.3,39.48480089,310.9366925,42.48049773
1248,Adult_pollock,,343.54,-7.190884739,339.43333,52.49286635
1249,Adult_pollock,,379.98,-46.27028348,376.7767404,16.92010673
1277,other_fish,,491.85,-23.93142401,479.7858554,-105.5747
1328,Adult_pollock,,235.03,89.59480987,215.5608086,-27.30814971
1329,Adult_pollock,,274.14,73.96881208,261.897063,-33.00911444
1330,Adult_pollock,22.41,314.33,80.75411049,289.9863458,-53.98847083
1331,Adult_pollock,,303.23,68.43474995,288.0394041,-65.56170556
1341,other_fish,,494.36,62.43283952,489.8980765,22.21833852
1342,other_fish,,503.91,3.784528195,503.7031846,13.89054904
1359,other_fish,,481.13,-19.35035639,475.5056174,-70.7806058
1360,other_fish,,466.17,-65.64401379,456.4362111,-68.35114748
1361,other_fish,,530.68,-112.9366471,514.0890948,-67.63754045
1396,Adult_pollock,,346.29,-13.76305365,338.910016,-69.78448269
1397,Adult_pollock,,336.31,-16.72273531,328.5530135,-69.81690093
1398,Adult_pollock,,334.65,-35.11284516,320.2937037,-90.40109386
1398,Adult_pollock,,221.74,-71.5553843,206.109954,-39.59111363
1399,Adult_pollock,,225.18,-56.3237896,214.6995145,-37.89360544
1400,Adult_pollock,23.03,234.16,-43.84866413,219.2721283,-19.97367742
1401,Adult_pollock,,236.6,-44.14366608,232.0962871,-12.66314936
1402,Adult_pollock,,249.06,-28.61173847,247.3063797,-7.252602283
1403,Adult_pollock,,263.63,0.416778202,263.5657318,-5.877465247
1404,Adult_pollock,,267.41,38.42661809,264.4848605,-8.788040274
1405,other_fish,,282.67,98.99011189,264.380034,14.45293404
1405,other_fish,,289.26,-79.19230444,273.1107296,-53.03982347
1406,Adult_pollock,,288.63,-27.04502601,285.0752562,-36.1304889
1406,Adult_pollock,,342.47,-53.03846469,328.8734533,-79.46105181
1407,Adult_pollock,,285.31,-13.23810293,284.1001282,-22.62989012
1407,Adult_pollock,21.48,328.5,7.86265574,326.0148771,-52.85157039
1408,Adult_pollock,18.69,278.46,-32.96434227,274.4960425,-27.26091106
1409,Adult_pollock,,273.74,-52.90959578,265.1999007,-42.47299432
1410,Adult_pollock,,267.23,-90.81324431,248.3144629,-38.79098745
1432,Adult_pollock,,375.9,-50.97011704,371.5861217,-25.0105864
1433,Adult_pollock,,374.5,-29.45257378,369.6281479,-52.50745547
1434,Adult_pollock,,372.01,-12.67624714,359.6368025,-94.28544784
1435,other_fish,,403.97,-13.78704094,387.4732057,-113.4396052
1436,other_fish,,364.98,-8.39721618,357.7588306,-71.76681935
1437,other_fish,,359.33,-7.198964837,347.4064753,-91.5139826
1444,other_fish,,354.08,-116.6075206,333.6359769,21.56685554
1444,other_fish,,405,52.3764412,397.9910174,-53.68532641
1444,other_fish,,261.08,53.23315437,242.3876124,-81.1092764
1445,Adult_pollock,,266.78,67.54612983,246.1316096,-77.65850001
1449,Adult_pollock,20,188.76,43.35225504,177.5263924,-19.94615872
1450,Adult_pollock,,174.42,28.54914097,171.8852571,-7.946913279
1450,other_fish,,368.83,23.96484929,359.4712619,-79.02049919
1451,Adult_pollock,,168.89,17.57157571,164.6512688,-33.2187874
1452,Adult_pollock,,172.31,-2.048188814,164.894958,-49.95178753
1453,Adult_pollock,,172.68,-16.33817708,168.6844056,-33.11311802
1454,Adult_pollock,,180.61,-19.68412737,176.4407642,33.20727462
1455,Adult_pollock,,168.81,-44.83510967,160.6179593,26.23746301
1456,Adult_pollock,,201.31,-15.37116858,192.0618683,58.32619506
1457,Adult_pollock,,215.47,27.74081097,202.240162,68.95898985
1460,Adult_pollock,,430.92,67.24096748,425.2685432,17.84858579
