SPECIES_GROUP,RANGE,ERROR,HX,HY,HZ
Sarsia sp,66.11,0.169065028,26.36526248,60.6261376,-0.110624366
Sarsia sp,74.92,0.635836256,-4.269903634,73.03404266,-16.16247436
Sarsia sp,55.02,0.842747908,4.10934874,52.85791349,14.7128608
Sarsia sp,62.58,0.138075732,-8.534205951,61.84708736,4.351375189
Sarsia sp,85.08,0.418154937,36.67989323,76.19217067,9.414862727
Sarsia sp,88.13,0.232810569,19.74398868,85.80116749,3.985349199
Sarsia sp,94.59,0.637804211,5.727822782,94.29054399,-4.830814791
Sarsia sp,83.45,0.405051559,18.58055237,78.19655893,22.46714619
Sarsia sp,87.39,0.010212328,3.949448256,85.67164435,16.80667974
Sarsia sp,95.31,1.085014029,-8.699720264,93.73596502,14.87863896
Sarsia sp,106.74,0.749404958,-21.79273539,103.5860082,13.70438807
Sarsia sp,95.29,0.080245007,40.04041621,86.10864474,-7.929696137
Sarsia sp,98.84,0.599291901,23.99085739,95.31147619,-10.43785253
Sarsia sp,107.11,0.669342062,8.150630618,105.8562953,-14.14639781
Sarsia sp,77.58,0.704043551,16.03488994,74.36856391,15.16894279
Sarsia sp,84.24,0.468843725,-2.99438773,84.04630275,4.914380912
Sarsia sp,54.85,6.444439414,-11.50702769,53.2702995,6.224379099
Sarsia sp,94.91,0.657806893,17.00397458,92.90237499,-9.344104693
Sarsia sp,53.21,0.1948535,14.89090177,50.78940591,5.510909968
Sarsia sp,71.48,9.298187492,32.23412099,63.54353373,-5.65065777
Sarsia sp,107.38,1.097749124,42.14476204,98.27426596,-9.796320468
Sarsia sp,47.71,0.088731182,11.65069986,46.10426638,3.801995138
Sarsia sp,53.29,1.995598977,-1.812589844,52.98632731,5.426720228
Sarsia sp,29.12,0.132779248,8.431560086,27.53829552,4.282051707
Sarsia sp,84.86,0.615700318,26.87901669,80.48879703,-0.831734496
Sarsia sp,87.94,0.427613506,15.79303701,86.44002405,-3.583193714
Sarsia sp,93.21,0.0165207,1.854735355,93.13168932,-3.453557531
Sarsia sp,83.88,4.010869957,-12.54033211,78.07344042,27.99436883
Sarsia sp,92.05,0.199954117,28.80222948,84.5849316,22.11356142
Sarsia sp,130.5,0.386696092,21.31438836,128.624627,5.629912578
Sarsia sp,103.6,0.703790541,31.80081008,96.30036347,21.17071299
Sarsia sp,100.51,0.684855848,-2.601577199,100.2744606,6.409177055
Sarsia sp,106.56,0.477429096,15.42687022,104.4817152,14.12758571
Sarsia sp,112.48,0.73885109,1.68518085,112.1791771,8.020332083
Sarsia sp,121.3,0.184458906,-10.15297036,120.6268577,7.674830334
Sarsia sp,131.95,0.785916717,-22.71669898,129.5730691,10.22627332
Sarsia sp,108.37,0.368482714,16.18690742,107.1278806,-2.387797997
Sarsia sp,121.99,0.919567683,26.18186522,118.6617115,10.74017247
Sarsia sp,115.92,0.045944914,41.74832313,106.7948174,17.02820237
Sarsia sp,93.1,3.437478278,4.84975238,87.77992886,30.64879223
Sarsia sp,118.01,0.248133253,26.78144792,114.0963447,13.85246533
Sarsia sp,126.21,0.214888738,10.96179947,125.5908926,5.934313904
Sarsia sp,122.62,0.478735753,11.38977837,121.4022836,12.97015428
Sarsia sp,82.68,0.537707704,26.93598957,77.18818891,12.37782675
Sarsia sp,86.12,0.669754959,15.31647451,84.65789649,3.792870453
Sarsia sp,91.92,0.348347587,2.922716398,91.5776147,-7.310275768
Sarsia sp,83.81,0.3421977,27.14256289,78.63440145,-10.21941487
Sarsia sp,89.96,0.446363854,14.59032013,87.84716374,-12.73335577
Sarsia sp,85.8,0.535052989,25.86436239,81.76656481,2.667704666
Sarsia sp,91.48,0.61695493,11.22615621,90.767487,1.963992023
Sarsia sp,99.81,0.584629794,-2.748963932,99.75148151,1.979426304
Sarsia sp,109.77,0.888235126,-15.1453845,108.7163792,0.110249807
Sarsia sp,125.93,0.505415596,23.08291893,121.1086057,25.63803027
Sarsia sp,131.78,0.06110575,8.240274146,129.7179553,21.73077129
Sarsia sp,96.66,0.117422707,36.88595974,89.2562967,-3.967613665
Sarsia sp,94.26,0.687840811,29.37888256,87.45018219,19.33914765
Sarsia sp,97.25,0.937045764,14.04860106,94.54370083,17.9174548
Sarsia sp,104.44,0.286510702,0.444539952,102.088047,22.0162872
Sarsia sp,80.42,0.591535228,21.33081447,76.7937456,10.70554285
Sarsia sp,87.28,0.444293821,8.711294094,86.3681164,9.116238735
Sarsia sp,96.98,0.411976623,-2.814942583,96.44142067,9.768341521
Sarsia sp,81.33,1.034944535,24.97891921,77.28423094,4.22453867
Sarsia sp,88.38,0.718555908,12.84213096,87.4106379,2.212972273
Sarsia sp,97.96,0.365750499,-0.255670902,97.94444486,1.43983984
Sarsia sp,79.75,0.453599225,28.9356525,74.22403309,-3.594235849
Sarsia sp,79.01,0.693199423,27.00934476,74.1559843,-3.690401501
Sarsia sp,86.96,0.108510939,16.58152234,84.4347256,-12.56445939
Sarsia sp,71.7,0.872195718,18.26111122,68.10737999,13.01444799
Sarsia sp,79.06,0.210258592,1.890965447,77.57916836,15.12042908
Sarsia sp,49.31,0.562633427,-2.601561409,48.95043373,-5.299274819
Sarsia sp,89.12,0.013822808,-14.37189918,86.58645178,15.42350137
Sarsia sp,108.92,0.330253292,20.39993614,103.1427671,-28.44118561
Sarsia sp,97.98,0.830172798,31.71376491,92.70270009,0.771946229
Sarsia sp,90.46,0.330007629,14.09330919,86.0453215,-24.09983559
Sarsia sp,104.85,0.206168804,19.87681295,102.761896,-6.116792628
Sarsia sp,90.72,1.038684574,8.13639982,87.04620289,24.22190441
Sarsia sp,113.67,0.32827409,7.685197628,112.676045,-12.89259891
Sarsia sp,98.32,0.041008474,-6.671664526,95.99150871,20.20948659
Sarsia sp,93.27,0.623600347,24.88688197,84.88232343,29.58110423
Sarsia sp,96.84,0.265501687,8.598783922,93.32846186,24.36307868
Sarsia sp,104.24,0.086362058,-6.180139035,102.0303248,20.41462634
Sarsia sp,114.04,0.732131166,-23.0070414,110.6297463,15.35546303
Sarsia sp,120.42,0.865777663,13.8973461,116.6010825,26.66814155
Sarsia sp,114.24,0.222333455,31.91544574,105.7774335,29.02330422
Sarsia sp,76.88,0.154690338,31.87452214,69.79808526,4.738561963
Sarsia sp,81.59,0.539962885,17.69243504,79.6511165,-0.325631051
Sarsia sp,89.44,0.342620305,6.502853206,88.96969314,-6.495227065
Sarsia sp,57.73,0.993892576,12.0737698,56.06704217,-6.605993833
Sarsia sp,65.26,0.287722843,-0.981415672,61.95281023,-20.48878902
Sarsia sp,89.06,0.758940154,-7.190961313,84.48061531,27.25351988
Sarsia sp,95.69,0.32798702,-19.21760214,90.88554798,22.95088393
Sarsia sp,46.32,0.722617243,14.15311479,44.02870712,2.551010666
Sarsia sp,119.51,0.240531805,-2.286999866,115.0609008,-32.22065794
Sarsia sp,100.29,0.474275748,41.22842766,90.91335261,9.690916267
Sarsia sp,103.29,0.012310104,24.6613258,100.296848,-1.415427254
Sarsia sp,110.3,1.070614308,7.468457651,109.5033559,-10.94196312
Sarsia sp,91.97,0.21638931,-18.48855434,88.0889669,18.91241446
Sarsia sp,78.91,0.809346541,2.42019493,74.65920039,-25.4194298
Sarsia sp,52.13,2.054472186,9.840158715,49.455328,-13.22651281
Sarsia sp,63.75,0.842032001,10.19170748,62.92918605,-0.202190095
Sarsia sp,74.96,0.510724096,-6.701421933,74.39292445,-6.300593483
Sarsia sp,55.74,3.608437941,24.38323279,49.96891591,3.868011961
Sarsia sp,60.21,1.00612596,3.723322363,60.05748317,-2.089118793
Sarsia sp,55.33,2.167636585,22.00570535,50.10366347,-8.176805681
Sarsia sp,64.52,0.459652613,1.138660075,62.22994704,-16.99058698
Sarsia sp,107.55,0.130875693,0.904807903,105.6400816,20.16891416
Sarsia sp,120.17,0.363307174,-20.47395803,117.6302864,13.59584467
Sarsia sp,100.36,0.602528987,20.71449535,94.157248,27.88333558
Sarsia sp,40.25,1.677109288,8.868685095,37.16752144,12.65697082
Sarsia sp,68.61,10.21235724,16.87313428,65.39067023,12.11782295
Sarsia sp,61.92,0.474265482,20.66148945,58.36703111,-0.819448785
Sarsia sp,82.98,0.32747255,32.64764893,76.23230862,-2.795927069
Sarsia sp,89.47,0.269470631,19.28119524,84.34335645,22.8030385
Sarsia sp,49.46,1.196736971,1.61058106,48.36482016,10.21703964
Sarsia sp,42.82,2.756349803,16.3530863,38.39004647,9.629819982
Sarsia sp,48.24,1.211842062,1.839194088,47.60821101,7.576341789
Sarsia sp,75.64,10.4355908,0.234238873,71.20634893,25.5239073
