PROJECT,DEPLOYMENT_ID,FRAME_NUMBER,TARGET_NUMBER,SPECIES_GROUP,LX,LY,RX,RY,LENGTH,RANGE,ERROR,LHX,LHY,LTX,LTY,RHX,RHY,RTX,RTY,HX,HY,HZ,TX,TY,TZ,TARGET_LINK,COMMENT,ANNOTATOR,TIME_STAMP
DY2308_minicam_pilot,D20230717-T110310,1126,1,Adult_pollock,1236.2926829268292,939.2613240418118,1243.2926829268292,983.2613240418118,,460.16,0.6368124165983822,,,,,,,,,53.82409477969611,454.9091657953844,-43.66962646754049,,,,,,,
DY2308_minicam_pilot,D20230717-T110310,1126,2,other_fish,1582.3057112558702,1052.172595720016,1549.3057112558702,1098.172595720016,,295.32,1.480930096751604,,,,,,,,,80.80195205914376,280.8496975049573,-42.49348208392447,,,,,,,
DY2308_minicam_pilot,D20230717-T110310,1136,1,Adult_pollock,650.2578397212543,369.2822299651568,635.2578397212543,409.2822299651568,23.74,352.88,0.24969502374396668,631.3713496179797,376.9078938732197,742.257243920177,327.8192200563488,616.3713496179797,416.9078938732197,724.257243920177,368.8192200563488,-60.61833825002591,343.1546288421574,61.17712615875564,-40.6382168684775,331.7328075916744,66.99215435789365,,,,
DY2308_minicam_pilot,D20230717-T110310,1136,2,other_fish,1341.0348432055748,259.7073170731707,1354.0348432055748,299.7073170731707,,489.53,0.09972858395702844,,,,,,,,,79.7990111770949,470.1051534530747,110.78321972785834,,,,,,,
DY2308_minicam_pilot,D20230717-T110310,1177,1,Adult_pollock,1067.9756097560976,1184.2648083623692,1048.9756097560976,1228.2648083623692,,345.42,0.8481025108170828,,,,,,,,,12.272336318784552,337.4454381778395,-72.75354320262588,,,,,,,
DY2308_minicam_pilot,D20230717-T110310,1180,1,Adult_pollock,1467.7491289198606,841.7421602787456,1463.7491289198606,885.7421602787456,,390.91,1.1837432331971016,,,,,,,,,88.02875207394186,380.42405152472975,-18.423421799341135,,,,,,,
DY2308_minicam_pilot,D20230717-T110310,1182,1,other_fish,1755.7804878048778,1072.5505226480836,1760.7804878048778,1118.5505226480836,,447.37,2.9003339367635377,,,,,,,,,154.50005344664729,414.5051925872209,-66.77801648699901,,,,,,,
DY2308_minicam_pilot,D20230717-T110310,1186,1,Adult_pollock,1469.156794425087,852.7700348432055,1485.156794425087,893.7700348432055,,513.64,5.01206357140999,,,,,,,,,115.99565340488512,499.6678392638065,-26.50834945307684,,,,,,,
DY2308_minicam_pilot,D20230717-T110310,1187,1,other_fish,1264.7839721254354,448.7003484320557,1281.7839721254354,489.7003484320557,,521.7,0.484261440484012,,,,,,,,,67.74098737443855,512.0619027896452,73.30578236685753,,,,,,,
DY2308_minicam_pilot,D20230717-T110310,1197,1,other_fish,1628.0662020905922,755.1114982578397,1651.0662020905922,800.1114982578397,,567.72,0.022961304114037767,,,,,,,,,168.0994925405656,542.2560931109872,-3.467897818809083,,,,,,,
