SPECIES_GROUP,LENGTH,RANGE,ERROR,HX,HY,HZ
Adult_pollock,,460.16,0.636812417,53.82409478,454.9091658,-43.66962647
Adult_pollock,23.74,352.88,0.249695024,-60.61833825,343.1546288,61.17712616
Adult_pollock,,345.42,0.848102511,12.27233632,337.4454382,-72.7535432
Adult_pollock,,390.91,1.183743233,88.02875207,380.4240515,-18.4234218
Adult_pollock,,513.64,5.012063571,115.9956534,499.6678393,-26.50834945
Adult_pollock,,558.31,0.702110724,-66.39096128,554.0974773,-16.81247295
Adult_pollock,,573.87,2.472839145,-76.79003798,568.2076807,23.89417795
Adult_pollock,,243.83,2.954857741,47.43804448,225.6756999,-79.1899034
Adult_pollock,,353.61,4.778512066,-19.69164166,333.1737182,-116.8296718
Adult_pollock,,268.67,0.441252009,91.87723321,248.2839024,45.80250357
Adult_pollock,18.18,301.66,0.133060309,60.63225142,280.8247592,42.55641647
Adult_pollock,,316.3,0.524515119,39.48480089,310.9366925,42.48049773
Adult_pollock,,343.54,0.306415536,-7.190884739,339.43333,52.49286635
Adult_pollock,,379.98,1.302792692,-46.27028348,376.7767404,16.92010673
Adult_pollock,,235.03,0.08929652,89.59480987,215.5608086,-27.30814971
Adult_pollock,,274.14,0.871570757,73.96881208,261.897063,-33.00911444
Adult_pollock,22.41,314.33,0.45687067,80.75411049,289.9863458,-53.98847083
Adult_pollock,,303.23,0.900785874,68.43474995,288.0394041,-65.56170556
Adult_pollock,,346.29,1.804639897,-13.76305365,338.910016,-69.78448269
Adult_pollock,,336.31,1.655911244,-16.72273531,328.5530135,-69.81690093
Adult_pollock,,334.65,1.021427444,-35.11284516,320.2937037,-90.40109386
Adult_pollock,,221.74,1.008673763,-71.5553843,206.109954,-39.59111363
Adult_pollock,,225.18,1.17020302,-56.3237896,214.6995145,-37.89360544
Adult_pollock,23.03,234.16,0.816444648,-43.84866413,219.2721283,-19.97367742
Adult_pollock,,236.6,2.129041209,-44.14366608,232.0962871,-12.66314936
Adult_pollock,,249.06,1.693273875,-28.61173847,247.3063797,-7.252602283
Adult_pollock,,263.63,1.719277663,0.416778202,263.5657318,-5.877465247
Adult_pollock,,267.41,1.021833396,38.42661809,264.4848605,-8.788040274
Adult_pollock,,288.63,1.381868261,-27.04502601,285.0752562,-36.1304889
Adult_pollock,,342.47,2.298571526,-53.03846469,328.8734533,-79.46105181
Adult_pollock,,285.31,1.699150747,-13.23810293,284.1001282,-22.62989012
Adult_pollock,21.48,328.5,0.335957148,7.86265574,326.0148771,-52.85157039
Adult_pollock,18.69,278.46,0.499981891,-32.96434227,274.4960425,-27.26091106
Adult_pollock,,273.74,1.137556123,-52.90959578,265.1999007,-42.47299432
Adult_pollock,,267.23,1.050433435,-90.81324431,248.3144629,-38.79098745
Adult_pollock,,375.9,0.620401982,-50.97011704,371.5861217,-25.0105864
